termino	frecuencia
andres	1400
arias	1433
asesinaban	430
asesinados	451
autoridad	1384
chillan	440
ciudadanos	482
civiles	463
colombia	788
comunista	1373
condolencias	439
criminales	989
decentes	437
deputa	1308
excelente	2007
familiares	467
farc	482
felipe	1357
general	451
hijo	1730
hijos	1727
honestos	435
hoy	680
indefensos	455
indios	441
internacional	446
jose	467
justicia	452
malparidos	2001
mas	727
mes	762
miembros	494
moral	1418
narcocriminales	2006
pasaran	1989
paz	529
perro	1394
personas	521
policias	448
presidente	471
procurador	2118
puta	1958
raquel	435
referirse	1308
santos	483
señor	2021
ser	765
torturados	437
uribe	1316
