term	freq
amansamamertos	12
ampuloso	8
areopagita	13
benito	10
budgie	7
camelas	10
carlos	7
carv	8
certero	13
cgram	7
cibernetico	7
comentandoj	7
diciendo	10
doblecero	10
doncunegundo	7
elbofote	7
elconde	7
ferchonaranjas	7
heroesdelachunchulla	7
holarunchos	9
jato	8
javier	7
justicia	7
killbill	7
kyrieeleison	10
liberalgaitanista	8
locierto	9
logicol	7
machete	7
marmota	8
maxwell	7
mejor	7
mnlparra	7
otario	7
pafnutius	10
pastuso	7
patecaucho	7
paz	7
pensador	9
perezosa	8
ser	7
smart	7
toyarrecho	7
uribe	10
viejo	9
yasecaeelcapataz	8
